排名,时间,振幅,收盘价,下一根收盘价
1,2025-07-21 00:00,3.4015%,0.26185,0.26316
2,2025-07-18 22:15,2.8937%,0.24624,0.24514
3,2025-07-21 01:00,2.8513%,0.26049,0.26344
4,2025-07-18 13:05,2.7972%,0.24117,0.24102
5,2025-07-21 02:45,2.7780%,0.26958,0.27203
6,2025-07-17 05:20,2.6831%,0.21801,0.21988
7,2025-07-19 19:10,2.6168%,0.24808,0.24722
8,2025-07-22 12:20,2.3491%,0.25923,0.2607
9,2025-07-21 08:10,2.1756%,0.27215,0.26918
10,2025-07-21 03:05,2.0994%,0.27694,0.27536
11,2025-07-21 06:15,2.0981%,0.26568,0.26624
12,2025-07-19 18:45,2.0206%,0.25242,0.25272
13,2025-07-21 00:05,2.0086%,0.26316,0.26314
14,2025-07-21 08:00,1.9750%,0.27312,0.27441
15,2025-07-21 00:30,1.8938%,0.26739,0.26611
16,2025-07-18 21:30,1.8698%,0.24931,0.25098
17,2025-07-21 16:30,1.8488%,0.27785,0.27542
18,2025-07-21 08:15,1.8482%,0.26918,0.26934
19,2025-07-19 12:05,1.8307%,0.25424,0.25585
20,2025-07-18 09:15,1.7240%,0.2296,0.23089
