排名,时间,实体振幅,收盘价,下一根收盘价
1,2025-07-21 00:00,2.9689%,0.26185,0.26316
2,2025-07-17 05:20,2.6219%,0.21801,0.21988
3,2025-07-18 22:15,2.3903%,0.24624,0.24514
4,2025-07-18 13:05,2.3685%,0.24117,0.24102
5,2025-07-22 12:20,1.9405%,0.25923,0.2607
6,2025-07-21 02:45,1.8898%,0.26958,0.27203
7,2025-07-21 03:05,1.8237%,0.27694,0.27536
8,2025-07-21 01:00,1.7538%,0.26049,0.26344
9,2025-07-19 19:10,1.6414%,0.24808,0.24722
10,2025-07-19 12:05,1.6228%,0.25424,0.25585
11,2025-07-19 18:45,1.5369%,0.25242,0.25272
12,2025-07-18 09:10,1.4935%,0.22969,0.2296
13,2025-07-17 09:30,1.4646%,0.21126,0.21284
14,2025-07-21 23:45,1.4264%,0.28301,0.28494
15,2025-07-17 06:45,1.4049%,0.21405,0.21391
16,2025-07-18 14:45,1.3379%,0.24844,0.2478
17,2025-07-19 09:05,1.3246%,0.2402,0.24005
18,2025-07-22 00:30,1.2919%,0.28461,0.28487
19,2025-07-22 01:00,1.2760%,0.28573,0.28568
20,2025-07-17 09:45,1.2720%,0.20957,0.21078
