排名,时间,下影线绝对值,开盘,收盘,最高,最低,下一根收盘
1,2025-07-22 09:15,0.003620,0.2671,0.26686,0.26758,0.26324,0.26856
2,2025-07-21 06:15,0.003160,0.26691,0.26568,0.26812,0.26252,0.26624
3,2025-07-21 01:40,0.003140,0.26578,0.26612,0.2665,0.26264,0.26464
4,2025-07-22 00:00,0.002920,0.28244,0.28356,0.28383,0.27952,0.28222
5,2025-07-21 01:00,0.002690,0.26514,0.26049,0.26536,0.2578,0.26344
6,2025-07-17 21:45,0.002580,0.21189,0.21258,0.21283,0.20931,0.21398
7,2025-07-19 19:10,0.002460,0.25222,0.24808,0.25222,0.24562,0.24722
8,2025-07-21 08:20,0.002340,0.26918,0.26934,0.26991,0.26684,0.27013
9,2025-07-18 22:25,0.002270,0.24514,0.24503,0.24591,0.24276,0.24461
10,2025-07-18 22:40,0.002190,0.243,0.24367,0.2438,0.24081,0.24316
